Tweet,Dugaan Sentimen
"RT @beesfchurger: berikut tips aman nomton selama pandemi:

1. don't 💢😷❌",-1
"RT @beesfchurger: berikut tips aman nomton selama pandemi:

1. don't 💢😷❌",-1
"RT @jokowi: Untuk mempertahankan daya beli masyarakat terdampak pandemi, pemerintah mendorong kebijakan Padat Karya Tunai di daerah. 

Tahu…",-1
Enam bulan berlalu sejak Virus Corona SARS-CoV-2 jadi 'terkenal' ke seluruh dunia. Para peneliti sudah menemukan banyak hal terkait virus ini. Apa saja? #VirusCorona https://t.co/RIlyJ6DqrZ,-1
"RT @Kanseulir: Bu Khofifah, Kasus Aktif Covid-19 di Jatim 2 Kali Lipat DKI.

Pantas Mendapat Penghargaan Dari Mendagri.
Tuan Tito Memang Ok…",1
"RT @beesfchurger: berikut tips aman nomton selama pandemi:

1. don't 💢😷❌",-1
"RT @jokowi: Untuk mempertahankan daya beli masyarakat terdampak pandemi, pemerintah mendorong kebijakan Padat Karya Tunai di daerah. 

Tahu…",-1
"RT @wiwidow: TWITTER PLIS BGT DO YOUR MAGIC!!!

Jadi temen nongkrong gue kena dampak covid19 di mana kampus tutup dan beliau jadi gak bisa…",1
"RT @beesfchurger: berikut tips aman nomton selama pandemi:

1. don't 💢😷❌",-1
abis mimpi diteleport ke ladang covid-19 sama luo yi,1
"RT @jokowi: Untuk mempertahankan daya beli masyarakat terdampak pandemi, pemerintah mendorong kebijakan Padat Karya Tunai di daerah. 

Tahu…",-1
"RT @beesfchurger: berikut tips aman nomton selama pandemi:

1. don't 💢😷❌",-1
"RT @beesfchurger: berikut tips aman nomton selama pandemi:

1. don't 💢😷❌",-1
"RT @beesfchurger: berikut tips aman nomton selama pandemi:

1. don't 💢😷❌",-1
"RT @Kanseulir: Bu Khofifah, Kasus Aktif Covid-19 di Jatim 2 Kali Lipat DKI.

Pantas Mendapat Penghargaan Dari Mendagri.
Tuan Tito Memang Ok…",1
Presiden @jokowi apresiasi penanganan Covid-19 Kalimantan Tengah. #IndonesiaMaju @TheloAgoes @muhamadsangidu2 @FaiqAmt https://t.co/rUyuumK50g,1
"RT @marwan_jafar: https://t.co/bIHtBBRd39

Pemulihan Ekonomi di Sektor Pariwisata

Covid-19 membuat keterpurukan ekonomi di bidang pariwisa…",0
RT @detikcom: Puluhan warga Kota Malang meninggal dunia karena COVID-19. Proses pemulasaran jenazah dilakukan oleh relawan. Di balik semua…,0
"RT @marwan_jafar: https://t.co/OKfvG3VqM0

Pandemi Covid-19 menyebabkan keterpurukan ekonomi, terutama di sektor ekonomi kreatif. Industri…",-1
"RT @beesfchurger: berikut tips aman nomton selama pandemi:

1. don't 💢😷❌",-1
