tanggal,tweets,username,retweet,source,hashtags
2020-04-26 23:59:11,"@Entow1jaya @RohmaniyatiSiti @gojekindonesia Habis Manis Sepah Dibuang Sama Aplikator @gojekindonesia &amp; @GrabID , Para Driver Cuma Dijadikan Martir, Kalau Buat Vlog Tentang Tangani Corona Rajin Bgt Grab &amp; Gojek, Boro2 Mau Bantu Mitra Yg Sedang Sudah Membesarkan Mereka? 

#TanpaRevolusiRIMusnah 
#TanpaRevolusiRIMusnah",Lucky_L4k1,2,Twitter for Android,"['TanpaRevolusiRIMusnah', 'TanpaRevolusiRIMusnah']"
2020-04-26 23:57:58,"@DivaCatrii Ya udah sih jangan dilarang lagi, biarkan mereka beribadah, kalopun ada apesnya kena Corona semua ya udah gpp itung² ngurangin jumlah penduduk Indonesia.",OscarJP20,0,Twitter for Android,[]
2020-04-26 23:57:56,quarantine time bikin muka ga belang lg tp makin bnyk jerawatt grgr begadang😭 https://t.co/0bftouK0W0,roserhytm,0,Twitter for Android,[]
2020-04-26 23:57:17,"Edan kuy,, apa apa di kira corona,. https://t.co/HoCG0CRbkx",hanafi10829579,0,Twitter for Android,[]
2020-04-26 23:57:11,pms + corona = melihat jalanan Jepang sampe hampir nangis gegara kangen jalan-jalan....,Syazka,0,Twitter for iPhone,[]
2020-04-26 23:57:10,Coba deh yg masih ngeluh soal quarantine ini,beibyshaa,0,Twitter for iPhone,[]
2020-04-26 23:56:13,Selesai covid nanti kita jalan jalan yaa:),rezanovitry1,0,Twitter for iPhone,[]
2020-04-26 23:55:52,DPR Pertanyakan Parameter Status Zona Merah Covid-19 https://t.co/HPjg7mlv46 https://t.co/uL9ii19rRU,Realitarakyat01,0,WordPress.com,[]
2020-04-26 23:55:48,Pemkab memperpanjang masa tanggap darurat bencana non-alam COVID-19 mulai 26 April sampai dengan 9 Mei 2020. https://t.co/SeAjbRdeLh,detikcom,3,Echobox Social,[]
2020-04-26 23:55:07,KKSS NTT Berbagi Kasih Sedekah Dengan Warga Terdampak Covid  https://t.co/CcVEdgJkA6,GATRA_News,0,GATRA.com,[]
2020-04-26 23:52:22,"rambut jadi panjang banget gara2 kelamaan #dirumahaja 

bisa2 jadi rapunzel gua

jangan kaget nanti abis lebaran ada “tangled part 2” tapi kumisan
#recehantwitter #RECEHKANTWITTER",kong_sabyan,0,Twitter for iPhone,"['dirumahaja', 'recehantwitter', 'RECEHKANTWITTER']"
2020-04-26 23:50:50,Apple dan Google kini bakal mulai memberikan application programming interface (API) dari sistem contact tracing mereka ke pengembang aplikasi. https://t.co/zWIgcO5Im5,detikinet,4,Echobox Social,[]
2020-04-26 23:50:32,"VW merayakan pembukaan pabrik utamanya di Wolfsburg, dengan menampilkan logo VW memakan virus corona yang sedang terjepit. https://t.co/CyyWQG6UqX",iNewsID,0,dlvr.it,[]
2020-04-26 23:50:06,KNPI Gelar GVC untuk Dukung UMKM di Masa Pandemi Covid-19 https://t.co/xdFLpMPIpX,GATRA_News,0,GATRA.com,[]
