tweets,sentiment
Salut! Polri mendapat apresiasi dari DPR RI dalam menegakkan hukum terhadap pelaku tindak kriminal pada masa pandemi Covid-19. #DPRRIApresiasiPolri,2
Sebelum booming corona biasanya ke pasar nongkrong dengan mamang mamang sunda perbincangan ttg dunia empon2 yang di Bogor . Skrg atulah ke pasar ku gak bisa happy seperti dulu 😭 padahal ke pasar adalah piknikku sbg mother of 8 children .. https://t.co/ZLbNsvWRxB,0
Covid 19 plus 30 ribu narapidana https://t.co/wKMU7O7Vcp,0
"@faruqhmd Lu corona ora, muntaber iya.",0
"3. Jenazah belum dapat dipastikan apakah positif terinfeksi Covid-19 atau tidak, sebab hasil tes swab belum keluar. Meski demikian, proses pemulasaraan hingga pemakaman jenazah dilakukan sesuai dengan prosedur tetap (protap) Covid-19. https://t.co/Wi66yYS3EA",1
"Halo saya Wulan Guritno mengajak teman-teman semua untuk bergerak bantu Indonesia sembuh dari Covid-19, dengan cara ikut program donasi #untukIbuPertiwi berbagi bantuan untuk saudara-saudara yang membutuhkan.… https://t.co/Zhl8bvmR6N",2
"#WFH
#DiRumahAja @ South Jakarta https://t.co/r4jLM4ZApq",2
"Selama liburan grgr corona, kalyan udh punya gaya rebahan baru belom gesss?",2
"Ini salah satu pemimpin yg punya ""kecerdasan intuisi"".
Intuisi dipunyai orang2 dgn karakter tenang,gk su'udhon kpd orng.

https://t.co/8IkmXQQ7YJ

""Coba tunjukkan negara mana yang berhasil melakukan lockdown dan bisa menghentikan masalah? Nggak ada menurut saya,"" kata Jokowi.",2
"Erina mengatakan wartawan selama ini lekat dengan pola hidup yang tidak teratur, seperti kurang istirahat dan makan tidak teratur. Jika terus dibiasakan, maka akan berdampak pada turunnya sistem imun.  https://t.co/X4Kn6iavWC",1
Relawan Jokowi Gotong Royong Bantu Warga Terdampak Pandemi Corona https://t.co/EWqDNCJlVd https://t.co/uSUji9dojo,2
"Spot, robot canggih berkaki empat dengan bentuk mirip anjing ini dirancang dapat membantu serta melindungi petugas kesehatan dari paparan virus Corona. https://t.co/9Lp1GXjEvJ",2
"@icyiycx Persetan emang sama goodlooking, kalau gada adab sama aja kayak corona.
Minta dihujat terus",0
"Pandemi virus corona (Covid-19) menyebabkan banyak negara harus menutup akses perbatasan dan mencegah siapa pun masuk ke negaranya, terutama para pelancong. https://t.co/HvKUnzL85Q",1
"Instruksi Habib Rizieq: Masjid Jangan Ditutup, Sholjum Mengacu Protokol Kesehatan https://t.co/KzMuDOE1SH  #HabibRizieq #HRS #FPI #Shojum #Covid19 #Corona",1
"Ok, kubu yg satu mengatakan Mudik dan Pulang Kampung itu sama, kubu yg satunya lagi berbeda.. tidak masalah, sah sah ajah dengan pemahaman masing2 (walaupun agak ngaco).. tp subtansialnya kan peraturan ini dikeluarkan sebagai upaya memutus penyebaran pandemi ini #MataNajwa",2
"Lawan covid-19 dg sistem imun yg bekerja optimal. 
Fungsi utama TF
1. Mendidik siatem imun utk dpt mengenali berbagai macam virus, bakteri &amp; cancer.
2. Merangsang sistem imun untuk melawan Patogen
3. Menenangkan sistem imun apabila musuh sudh d kalhkan
👇
https://t.co/dM3yxeKEio https://t.co/O0LsvoPVg5",2
"Oleh karena itu, @id_greatedu memberikan kesempatan kepada kalian berdiskusi bersama ahlinya mengenai hak gaji karena tidak masuk kerja di tengah wabah covid-19  dengan mengikuti...

💰 Webinar: Tak Masuk Kerja di Pandemik Covid-19, Masikah Berhak Gaji 💰",2
@Edwin_A_J @pandji vietnam dan korut mmg terbaik sedunia. tau gk apa rahasianya? https://t.co/zuktfTKSe5,1
FBBI Sikapi Maraknya Dampak Virus Corona di Indonesia https://t.co/Fzpj14tDQl,1
"Covid 19 adalah pelajaran berharga buat kita semua, bukan mengeluh tapi berfikir agar kita slalu waspada slalu siap menghadapi keadaan, karna dunia terus berjalan dgn hal yg berbeda. Mungkin begitu njih pak @jokowi @ganjarpranowo @MardaniAliSera https://t.co/sBz6XvqQcp",2
"Kabar baik! Kasus Baru Corona di Indonesia Turun Drastis, Terendah dalam 2 Minggu

https://t.co/auM0cBgnwa",2
"tmn Praja, penangann Covid-19 hrs dlkukn w/ menejemen yng baek agr psen positip penangann Covid-19 dpt di terima olh madyarakat",2
"Selama pandemi, Gojek berupaya meringankan beban para driver melalui sejumlah program. Apa saja? #Ojol 
 https://t.co/MisQbfuME2",1
[HOAKS atau FAKTA]:Gubernur Sumut Bolehkan Salat di Masjid Saat COVID-19. #merahputih #Covid_19 #Masjid #SumateraUtara https://t.co/BEM6GXru5L,1
bopong 👍🏻 bandela erick menurut mengusut &amp;dobrak sapa di bawah mafia remedi disaat hawar corona ini alkes dan remedi yaitu nan teramat di butuhkan #LawanMafiaAlkes #LawanMafiaAlkes api meniadakan corona,1
@inikzy corona malah jd bu lala,0
Terbongkar! Ternyata Anies Belum Realokasi Anggaran untuk Menangani Covid19 https://t.co/Ja8hiz32ie,0
"Perangi Covid-19, BPF Bantu Tenaga Medis di 5 RS https://t.co/B3WaQYlHyJ https://t.co/VaFrxjBNz1",2
Pelantikan Hakim di Pesawaran Pakai Syarat Bebas Corona https://t.co/9Rn7eWbmgg https://t.co/iLu8qibayQ,1
DPD I Golkar Sumsel Salurkan 50 Ton Beras Untuk Warga Terdampak Covid-19 https://t.co/My7skiEjzA,2
Topik tentang kesembuhan pasien Covid-19 menjadi yang teratas pada pemberitaan media. https://t.co/EbAXEvnYRq,1
"WASPADA HOAX!
Ditengah situasi pandemik seperti sekarang, masih banyak informasi dengan sumber dan kebenaran yang tidak jelas berseliweran di media sosial. 

Sumber:
https://t.co/dVXoGHIcu5

#waspadacorona #lawanhoaxcorona #faktacorona #infocorona 

https://t.co/amvHJElyTQ https://t.co/aa6I4zFetJ",2
PDP Meninggal Belum Dikonfirmasi Positif Tak Masuk dalam Kasus Kematian akibat COVID-19 https://t.co/EpPLdAxAgZ,1
"Berdasarkan hasil riset SurveySensum Covid-19 Industry Sentiment Tracker, sebanyak 51% dari 109 responden melakukan peningkatan anggaran promosi digital saat pandemi corona.

https://t.co/EPvHqEGsUa",1
"Makin hari makin pusing sama dampak covid 19
Pihak management perusahaan udh mulai bingung ngadepin nya &amp; berimbas ke cost yg mungkin mendekati minus
Ikutan pusing keseret” 

MAU NIKAH AJA",0
"Nah sekarang kita kupas apa saja jenis hukuman displin (hukdis) dalam 3 kategori pelanggaran batasan berpergian di tengah pandemi ini.

Jenis hukdisnya dibagi menjadi dua, yakni:

1. Pelanggaran kategori I dikenakan atau dijatuhi hukuman disiplin tingkat ringan

(9)",1
"Semua kebiasaan yg dulu dilakuin dan ngerasa biasa aja,bakal kerasa aneh setelah corona selesai",1
Pemerintah mengingatkan masyarakat agar mewaspadai demam berdarah. #DemamBerdarah #COVID19 https://t.co/oMIMiQJepg,2
"Jumlah kasus positif virus Corona COVID-19 di Indonesia terus bertambah. Hingga Minggu (26/4/2020), tercatat 8.882 kasus positif, 1.107 sembuh, dan 743 meninggal.
.
""Konfirmasi positif 8.882 kasus,"" kata juru bicara… https://t.co/evaoH8Wmoe",1
"Pasien ini mengalami gejala aneh yang berbeda dari gejala umum Corona. Akibatnya, dia jadi kehilangan nafsu makan dan menjalani perawatan di rumah sakit. #HaiBunda #COVID19 https://t.co/k4nIavCif0",1
"Pada hari yang sama, di lokasi yang sama kata Bali pihaknya juga mengubur 11 jenazah laki-laki korban covid-19.  https://t.co/lXqELirQ35",1
"Apaan sih orang orang rame amat jalanan, katanya physical distancing? Udah kebal sama corona kayanya 🤨",0
"Waspadai saat bulan puasa, jng minum es dan makan gorengan krn bs radang tenggorokan klo terlalu sering. ( Nanti jd ODP, diobservasi)
Klo makan gorengan minum hangat klo minum es jng makan gorengan. Agar sekana ramadhan ini semya sehat dan bahagia, kemudian perlahan covid berlalu",2
"Hindari Penularan Covid-19, Bayar Zakar Fitrah Bisa Transfer https://t.co/4wdcGydWif",2
"Walaupun lagi #dirumahaja
, Sahabat bisa bertransaksi dengan aman dan mudah melalui e-channel Bank Mandiri.
Belum punya Mandiri Tabungan? Kunjungi https://t.co/J6pVemonMm atau scan QR Code di bawah ini.
Saatnya hidup lebih mudah, saatnya mandiri.
Info: https://t.co/Xn1rlFBsOJ https://t.co/rgTduyJOsR",2
Apabila yg 1jt orang mudik itu terbukti sbgn  membawa virus corona... tanggung jawab ada pd pribadi Luhut dunia akherat...yg ngeyel/strategi militer lah ulur² waktu larang mudik...? https://t.co/PSUDM2shD3,0
"Ia menyoroti Anies yang terlihat terburu-buru dan selalu berjargon lebih waspada dan lebih cepat dibanding pemerintah pusat. Di sisi implementasi, Anies justru berantakan.  https://t.co/koNxEzXA4h",0
Deretan Restoran Ternama yang Banting Harga Akibat Pandemi Corona COVID-19 https://t.co/dxfvcKHXjy,1
"Sambil Terisak, Syekh Ali Jaber Beri Nasihat Jgn Keras Kepala soal Corona

Ia sedih lantaran tdk bisa laksanakan ibadah di masjid spt biasa

Juga ungkapkan curahan hatinya thd org yg masih keras kepala, tdk taati aturan pemrintah utk cegah penyebaran virus
https://t.co/crpDDnCpIF",0
Direktur Jenderal WHO Tedros Adhanom Ghebreyesus mengatakan tidak ada rahasia di badan PBB itu setelah dikecam oleh Amerika Serikat karena dituduh meremehkan wabah covid-19.  https://t.co/qRIVGn0c1S,0
@Je_Ly @SurSur07 @G_Anti_Covid19 Alhamdulillah rejeki..terima kasih banyak atas pulsanya..sehat selalu 🙏❤ https://t.co/mBaEWNxghM,2
Jadi gaberasa lagi bulan ramadhan grgr corona jadi sepiiiii kek hati,0
Data Gugus Tugas Percepatan Penanganan Covid-19 menunjukkan jumlah orang dalam pemantauan (ODP) mencapai 202.040 orang pada Minggu (26/4/2020). https://t.co/2L6sqGfc55,1
"Saya menjual British Propolis adalah Produk Top 1 Di Masa Pandemi, Suplemen Meningkatkan Stamina Daya Tahan Tubuh seharga Rp250.000. Dapatkan produk ini hanya di Shopee! https://t.co/BhvWjoXZQO #ShopeeID",1
